City,AQI,IDX,IAQI,Dominant Pollutant,Date
Burnsville,30,7332,2.4,pm25,2020-08-13T16:00:00-06:00
Montgomery,89,7379,0.3,pm25,2020-08-13T16:00:00-06:00
Logan,59,4462,3.0,pm25,2020-08-13T16:00:00-06:00
Mount Pleasant,39,7416,1.0,o3,2020-08-13T16:00:00-05:00
Buffalo,19,5879,2.5,pm25,2020-08-13T16:00:00-04:00
New Berlin,43,7458,2.7,pm25,2020-08-13T17:00:00-05:00
Lima,60,7577,4.1,pm25,2020-08-13T17:00:00-05:00
Sacramento,0,304,0.2,o3,2020-08-13T13:00:00-07:00
East Providence,42,7478,0.2,pm25,2020-08-13T17:00:00-05:00
Urbandale,39,6924,1.2,pm25,2020-08-13T16:00:00-06:00
Mount Vernon,25,11434,3.3,pm25,2020-08-13T16:00:00-04:00
Lakewood,34,6323,5.0,pm25,2020-08-13T15:00:00-06:00
Henderson,87,5274,2.2,pm25,2020-08-13T12:00:00-08:00
Covina,61,242,4.8,pm25,2020-08-13T15:00:00-07:00
Bloomington,44,12845,0.5,pm25,2020-08-13T16:00:00-05:00
Kingsport,13,7539,1.0,pm25,2020-08-13T17:00:00-06:00
Spokane,34,149,1.0,pm25,2020-08-13T14:00:00-07:00
Kennewick,42,113,1.6,pm25,2020-08-13T14:00:00-07:00
Philadelphia,26,10168,1.0,o3,2020-08-13T17:00:00-05:00
Bellingham,30,9599,2.2,o3,2020-08-13T13:00:00-07:00
Visalia,50,289,2.0,pm10,2020-08-13T14:00:00-07:00
La Crosse,40,5932,4.0,o3,2020-08-13T16:00:00-06:00
Dallas,30,204,5.1,o3,2020-08-13T15:00:00-06:00
Antioch,31,8740,4.6,pm10,2020-08-14T00:00:00+03:00
Fishers,21,7511,0.6,pm25,2020-08-13T16:00:00-05:00
Cheyenne,21,9526,5.1,pm10,2020-08-13T15:00:00-07:00
Youngstown,38,7461,1.2,pm25,2020-08-13T17:00:00-05:00
Madison,51,5933,2.0,o3,2020-08-13T16:00:00-06:00
Redlands,34,7419,0.5,o3,2020-08-13T17:00:00-05:00
Nampa,37,5320,1.2,o3,2020-08-13T15:00:00-08:00
Washington,21,5336,4.6,pm25,2020-08-13T17:00:00-04:00
Wheaton,34,7419,0.5,o3,2020-08-13T17:00:00-05:00
Lancaster,44,5899,1.2,pm25,2020-08-13T16:00:00-04:00
Fargo,26,7446,4.6,o3,2020-08-13T15:00:00-06:00
Peoria,38,5954,2.7,o3,2020-08-13T15:00:00-07:00
Omaha,29,7363,5.0,o3,2020-08-13T16:00:00-06:00
Manhattan,58,3309,0.2,pm25,2020-08-13T16:00:00-04:00
Palm Springs,7,9626,2.6,o3,2020-08-13T17:00:00-06:00
Santa Rosa,31,11368,5.0,o3,2020-08-11T14:00:00+08:00
Kent,35,114,1.6,pm25,2020-08-13T14:00:00-07:00
Hackensack,-,8193,0.2,,2020-08-04T12:00:00-05:00
Durham,23,7433,0.1,o3,2020-08-13T17:00:00-05:00
Wichita,35,9189,0.5,o3,2020-08-13T16:00:00-06:00
Lakeville,55,7347,1.5,pm25,2020-08-13T16:00:00-06:00
Elmhurst,13,62,0.2,pm25,2020-08-13T16:00:00-04:00
Greenfield,43,11753,2.3,o3,2020-08-13T16:00:00-06:00
Santa Cruz,44,240,3.3,pm10,2020-08-13T12:00:00-07:00
Kenosha,48,5926,2.8,o3,2020-08-13T16:00:00-06:00
State College,38,5907,2.7,o3,2020-08-13T16:00:00-04:00
Quincy,42,3577,2.0,pm25,2020-08-13T17:00:00-04:00
Decatur,34,7401,3.0,o3,2020-08-13T16:00:00-06:00
Mobile,54,8199,9.5,pm25,2020-08-13T15:00:00-06:00
Vallejo,42,3903,2.3,pm25,2020-08-13T14:00:00-07:00
Longview,22,120,2.6,pm25,2020-08-13T14:00:00-07:00
Arvada,34,6323,5.0,pm25,2020-08-13T15:00:00-06:00
Alhambra,43,5953,3.0,o3,2020-08-13T15:00:00-07:00
Kokomo,46,7507,0.2,o3,2020-08-13T17:00:00-05:00
Indianapolis,48,8699,0.7,pm25,2020-08-13T17:00:00-05:00
Boynton Beach,7,9626,2.6,o3,2020-08-13T17:00:00-06:00
Mount Prospect,65,9523,1.3,pm25,2020-08-13T15:00:00-06:00
Cranston,53,7479,0.2,pm25,2020-08-13T17:00:00-05:00
Lafayette,72,6515,3.5,pm25,2020-08-13T15:00:00-06:00
Olathe,27,9190,4.6,pm25,2020-08-13T16:00:00-06:00
Greensboro,46,8883,1.0,pm25,2020-08-13T17:00:00-05:00
Kalamazoo,47,5329,5.0,o3,2020-08-13T17:00:00-06:00
Tigard,37,9104,4.2,pm25,2020-08-13T14:00:00-07:00
Jacksonville,35,9628,1.3,pm25,2020-08-13T17:00:00-06:00
Citrus Heights,52,300,4.1,o3,2020-08-13T14:00:00-07:00
Hawthorne,25,7595,1.3,pm25,2020-08-13T16:00:00-06:00
Marysville,42,123,4.1,pm25,2020-08-13T14:00:00-07:00
Cleveland,34,7462,2.0,o3,2020-08-13T17:00:00-05:00
Worcester,59,3574,0.2,pm25,2020-08-13T17:00:00-04:00
Columbia,46,9532,0.3,pm25,2020-08-13T16:00:00-06:00
Waterbury,40,7390,0.7,pm25,2020-08-13T17:00:00-05:00
Eagan,55,7347,1.5,pm25,2020-08-13T16:00:00-06:00
Lafayette,72,6515,3.5,pm25,2020-08-13T15:00:00-06:00
Boise City,37,9615,7.2,o3,2020-08-13T14:00:00-08:00
Elkhart,23,7503,2.0,pm25,2020-08-13T16:00:00-05:00
Salem,34,89,4.2,o3,2020-08-13T14:00:00-07:00
Aurora,38,18,0.3,pm25,2020-08-13T18:00:00-05:00
Westminster,61,6324,5.0,pm25,2020-08-13T15:00:00-06:00
Lubbock,21,9152,4.6,pm25,2020-08-13T14:00:00-06:00
Jackson,26,7432,2.5,o3,2020-08-13T16:00:00-06:00
Daytona Beach,22,6310,0.2,pm25,2020-08-13T17:00:00-06:00
Kansas City,24,7357,4.6,pm25,2020-08-13T16:00:00-06:00
San Francisco,53,3900,0.4,pm25,2020-08-13T14:00:00-07:00
Frisco,53,3900,0.4,pm25,2020-08-13T14:00:00-07:00
Huber Heights,49,7463,0.8,pm25,2020-08-13T16:00:00-05:00
New Brunswick,53,8531,0.3,pm25,2020-08-13T17:00:00-05:00
Hillsboro,26,78,3.1,pm25,2020-08-13T14:00:00-07:00
Hamilton,46,5912,4.0,pm25,2020-08-13T18:00:00-05:00
San Bernardino,72,10167,2.0,pm25,2020-08-13T14:00:00-05:00
Gary,50,7326,3.6,o3,2020-08-13T16:00:00-05:00
Syracuse,24,11437,0.4,pm25,2020-08-13T16:00:00-04:00
Clarksville,34,9533,0.7,pm25,2020-08-13T16:00:00-06:00
Lakeland,26,6305,4.7,pm25,2020-08-13T17:00:00-06:00
Moorhead,26,7446,4.6,o3,2020-08-13T15:00:00-06:00
Seattle,34,5855,1.2,pm25,2020-08-13T14:00:00-07:00
Covington,47,7455,46.5,o3,2020-08-13T17:00:00-05:00
Shreveport,49,7635,3.0,pm25,2020-08-13T16:00:00-06:00
Ogden,66,12866,0.1,pm25,2020-08-13T15:00:00-06:00
Pasadena,55,181,3.5,pm25,2020-08-13T14:00:00-06:00
Lawrence,42,3570,0.3,pm25,2020-08-13T17:00:00-04:00
Lake Oswego,37,9104,4.2,pm25,2020-08-13T14:00:00-07:00
Springfield,34,8200,3.2,o3,2020-08-13T16:00:00-06:00
Malden,42,5883,2.0,pm25,2020-08-13T17:00:00-04:00
Allen,47,6152,1.3,pm25,2020-08-14T00:00:00+02:00
Tucson,49,5960,3.5,o3,2020-08-13T14:00:00-07:00
Shakopee,38,11928,5.1,pm25,2020-08-13T16:00:00-06:00
Jacksonville,35,9628,1.3,pm25,2020-08-13T17:00:00-06:00
Erie,36,5892,3.6,o3,2020-08-13T16:00:00-04:00
Merced,49,283,2.2,o3,2020-08-13T13:00:00-07:00
Greenville,34,9191,3.0,pm25,2020-08-13T16:00:00-05:00
Huntersville,45,7383,8.0,pm25,2020-08-13T16:00:00-06:00
Harrisburg,45,6423,1.7,pm25,2020-08-13T16:00:00-04:00
